2025-05-11,Sunday,44023,111,44023,44134,0
2025-05-11,Sunday,44023,111,44023,44134,0
2025-05-16,2025-05-16,Friday,58383,391,58383,58774,0
2025-05-16,2025-05-16,Friday,62004,499,62004,62503,0
2025-05-16,2025-05-16,Friday,65143,597,65143,65740,0
2025-05-16,2025-05-16,Friday,58665,345,58665,59010,0
2025-05-16,2025-05-16,Friday,65067,357,65067,65424,0
2025-05-16,2025-05-16,Friday,65228,244,65228,65472,0
2025-05-16,2025-05-16,Friday,62017,288,62017,62305,0
2025-05-17,2025-05-17,Saturday,476527,1111,476527,477638,0
2025-05-17,2025-05-17,Saturday,81891,258,81891,82149,0
2025-05-17,2025-05-17,Saturday,84726,300,84726,85026,0
2025-05-17,2025-05-17,Saturday,476527,1111,476527,477638,0
2025-05-17,2025-05-17,Saturday,476527,1111,476527,477638,0
